,end_station_id,end_station_name,count
0,265,Meadows East,797
1,358,Leith Walk,586
2,1728,Portobello - Kings Road,583
3,1824,Duke Street,572
4,250,Victoria Quay,473
5,1024,Meadow Place,467
6,183,Waverley Bridge,448
7,1814,Abbeyhill,398
8,289,Castle Street,383
9,1025,Dundee Terrace,379
10,1823,Boroughmuir,327
11,258,Stockbridge,316
12,1721,Tollcross,315
13,259,St Andrew Square,307
14,1769,Brunswick Place,297
15,1767,Bruntsfield Links,293
16,1744,Morningside Road,291
17,253,Kings Building 2,281
18,262,Canonmills,280
19,1818,Dynamic Earth,280
20,1039,Lothian Road,269
21,1727,Causewayside,266
22,264,Pollock Halls,265
23,249,Fountainbridge,264
24,285,Ocean Terminal,254
25,1090,Hillside Crescent,250
26,246,Royal Commonwealth Pool,245
27,1729,McDonald Road,242
28,1091,Holyrood Road,241
29,1722,Cramond Foreshore,239
30,1808,Gorgie Road,236
31,248,Bristo Square,233
32,1038,South Trinity Road,225
33,1720,Dundas Street,218
34,1763,Comely Bank Road,215
35,1821,Drumsheugh Place,212
36,1092,Dalry Road Lidl,212
37,260,Lauriston Place,211
38,1757,Meggetland,209
39,1096,West Crosscauseway,208
40,2259,Leith Walk North,208
41,171,George Square,204
42,1052,Surgeons Hall,203
43,1019,Grassmarket,192
44,247,Charlotte Square,185
45,1730,East London Street,185
46,1743,Logie Green Road,179
47,1050,EICC,177
48,1800,Joppa,172
49,1737,Inverleith Row,168
50,1745,Scotland Street,167
51,1102,Haymarket Station,166
52,1028,Hunter Square,166
53,1051,Warrender Park Road,161
54,1753,Waitrose Comely Bank,159
55,2268,Picardy Place,159
56,1731,Pleasance Courtyard,157
57,1765,Haymarket Terrace,156
58,1752,IGMM - Western General,155
59,1017,Crichton Street,150
60,1098,Marchmont Crescent,131
61,1726,Simon Square,130
62,296,Castle Terrace,129
63,2263,Musselburgh Lidl,129
64,1097,Gladstone Terrace,115
65,1748,Colinton Road,114
66,252,Kings Buildings 1,108
67,1870,Hawes Pier,105
68,1819,Heriot Watt - Edinburgh Business School,103
69,1055,Roseburn Street,97
70,1758,Queen Margaret University,94
71,189,City Chambers,92
72,1798,Chambers Street,90
73,254,Kings Building 3,87
74,1738,Wester Coates Terrace,82
75,1768,Thirlestane Road,80
76,1756,Western General Hospital,79
77,1764,Craigleith Road,76
78,225,Waverley Court,74
79,1813,Milton Road - Edinburgh College,72
80,1739,Edinburgh Royal Infirmary,71
81,1822,Edinburgh Park Station,71
82,1749,Dean Street,70
83,1766,Balgreen Road,67
84,1770,Ellersly Road,63
85,1093,Belford Road,63
86,1820,Heriot Watt - Student Accommodation,61
87,1747,Corstorphine Road,60
88,1869,Hopetoun Road,57
89,1725,Edinburgh Zoo,54
90,1807,Gamekeeper's Road,53
91,1754,Murrayfield Tram,52
92,256,St Andrews House,51
93,1042,Kings Buildings - Murchison House,42
94,2265,Musselburgh Brunton Hall,34
95,1799,Murrayfield,30
96,349,Orchard Brae House,29
97,1865,Dalmeny Station,26
98,1866,The Loan,26
99,1877,Port Edgar Marina,25
100,1860,Ingliston Park & Ride,21
101,1874,Tesco Ferrymuir,20
102,251,Waverley Station,20
103,1815,Sighthill - Edinburgh College,18
104,1868,Forth Bridge Visitors Centre,15
105,1809,Royal Edinburgh Hospital,14
106,1864,Borrowman Square,10
107,1859,Edinburgh Park Central,10
108,1871,Scotstoun House,1
109,1031,Eden Locke - Aparthotel (RESIDENTS ONLY),1
110,2268,Picady Place,1
