,start_station_id,start_station_name,count
0,265,Meadows East,883
1,1024,Meadow Place,632
2,1767,Bruntsfield Links,454
3,183,Waverley Bridge,454
4,358,Leith Walk,451
5,1728,Portobello - Kings Road,431
6,1025,Dundee Terrace,404
7,248,Bristo Square,391
8,259,St Andrew Square,381
9,264,Pollock Halls,372
10,289,Castle Street,349
11,1721,Tollcross,340
12,1096,West Crosscauseway,336
13,1039,Lothian Road,336
14,250,Victoria Quay,335
15,1814,Abbeyhill,317
16,247,Charlotte Square,313
17,249,Fountainbridge,301
18,260,Lauriston Place,295
19,1727,Causewayside,286
20,1823,Boroughmuir,283
21,1744,Morningside Road,269
22,1769,Brunswick Place,264
23,246,Royal Commonwealth Pool,261
24,253,Kings Building 2,253
25,262,Canonmills,249
26,1821,Drumsheugh Place,241
27,1052,Surgeons Hall,239
28,1050,EICC,236
29,1824,Duke Street,231
30,2268,Picardy Place,231
31,1729,McDonald Road,226
32,1091,Holyrood Road,218
33,1765,Haymarket Terrace,204
34,1051,Warrender Park Road,204
35,1017,Crichton Street,199
36,258,Stockbridge,199
37,171,George Square,198
38,189,City Chambers,198
39,1090,Hillside Crescent,194
40,1722,Cramond Foreshore,191
41,1818,Dynamic Earth,188
42,1730,East London Street,186
43,1038,South Trinity Road,185
44,1092,Dalry Road Lidl,185
45,285,Ocean Terminal,185
46,1028,Hunter Square,185
47,1098,Marchmont Crescent,182
48,1798,Chambers Street,182
49,1019,Grassmarket,181
50,1102,Haymarket Station,180
51,296,Castle Terrace,177
52,1720,Dundas Street,177
53,2259,Leith Walk North,163
54,1768,Thirlestane Road,162
55,1731,Pleasance Courtyard,158
56,1737,Inverleith Row,150
57,1763,Comely Bank Road,149
58,1757,Meggetland,148
59,1745,Scotland Street,142
60,1753,Waitrose Comely Bank,137
61,1726,Simon Square,137
62,1808,Gorgie Road,137
63,1743,Logie Green Road,137
64,256,St Andrews House,134
65,1748,Colinton Road,133
66,1097,Gladstone Terrace,128
67,1752,IGMM - Western General,124
68,1800,Joppa,124
69,1758,Queen Margaret University,105
70,2263,Musselburgh Lidl,105
71,252,Kings Buildings 1,99
72,254,Kings Building 3,95
73,1819,Heriot Watt - Edinburgh Business School,92
74,1870,Hawes Pier,90
75,1055,Roseburn Street,87
76,1756,Western General Hospital,86
77,225,Waverley Court,86
78,1820,Heriot Watt - Student Accommodation,81
79,1770,Ellersly Road,73
80,1738,Wester Coates Terrace,73
81,1093,Belford Road,68
82,1739,Edinburgh Royal Infirmary,67
83,1764,Craigleith Road,67
84,1822,Edinburgh Park Station,63
85,1749,Dean Street,60
86,1869,Hopetoun Road,60
87,1807,Gamekeeper's Road,58
88,1813,Milton Road - Edinburgh College,55
89,1725,Edinburgh Zoo,51
90,1747,Corstorphine Road,47
91,1754,Murrayfield Tram,46
92,1042,Kings Buildings - Murchison House,43
93,251,Waverley Station,33
94,349,Orchard Brae House,33
95,1799,Murrayfield,30
96,1865,Dalmeny Station,29
97,1766,Balgreen Road,28
98,2265,Musselburgh Brunton Hall,24
99,1877,Port Edgar Marina,21
100,1809,Royal Edinburgh Hospital,19
101,1866,The Loan,18
102,1874,Tesco Ferrymuir,18
103,1868,Forth Bridge Visitors Centre,16
104,1864,Borrowman Square,14
105,1860,Ingliston Park & Ride,11
106,1815,Sighthill - Edinburgh College,10
107,1859,Edinburgh Park Central,9
108,1871,Scotstoun House,2
109,1031,Eden Locke - Aparthotel (RESIDENTS ONLY),1
110,2268,Picady Place,1
