end_station_id,end_station_name,count
171,George Square,37
183,Waverley Bridge,52
189,City Chambers,13
225,Waverley Court,11
246,Royal Commonwealth Pool,34
247,Charlotte Square,18
248,Bristo Square,41
249,Fountainbridge,45
250,Victoria Quay,56
251,Waverley Station,1
252,Kings Buildings 1,14
253,Kings Building 2,45
254,Kings Building 3,13
256,St Andrews House,14
258,Stockbridge,53
259,St Andrew Square,36
260,Lauriston Place,39
262,Canonmills,42
264,Pollock Halls,76
265,Meadows East,135
285,Ocean Terminal,25
289,Castle Street,29
296,Castle Terrace,10
349,Orchard Brae House,4
358,Leith Walk,62
1017,Crichton Street,31
1019,Grassmarket,17
1024,Meadow Place,88
1025,Dundee Terrace,46
1028,Hunter Square,18
1038,South Trinity Road,40
1039,Lothian Road,37
1042,Kings Buildings - Murchison House,6
1050,EICC,28
1051,Warrender Park Road,28
1052,Surgeons Hall,30
1055,Roseburn Street,8
1090,Hillside Crescent,28
1091,Holyrood Road,65
1092,Dalry Road Lidl,37
1093,Belford Road,8
1096,West Crosscauseway,35
1097,Gladstone Terrace,18
1098,Marchmont Crescent,15
1102,Haymarket Station,28
1720,Dundas Street,31
1721,Tollcross,54
1722,Cramond Foreshore,28
1725,Edinburgh Zoo,3
1726,Simon Square,25
1727,Causewayside,45
1728,Portobello - Kings Road,92
1729,McDonald Road,24
1730,East London Street,11
1731,Pleasance Courtyard,40
1737,Inverleith Row,24
1738,Wester Coates Terrace,4
1739,Edinburgh Royal Infirmary,14
1743,Logie Green Road,25
1744,Morningside Road,50
1745,Scotland Street,14
1747,Corstorphine Road,1
1748,Colinton Road,15
1749,Dean Street,8
1753,Waitrose Comely Bank,30
1754,Murrayfield Tram,12
1756,Western General Hospital,51
1757,Meggetland,29
1758,Queen Margaret University,10
1763,Comely Bank Road,24
1764,Craigleith Road,12
1765,Haymarket Terrace,37
1766,Balgreen Road,5
1767,Bruntsfield Links,52
1768,Thirlestane Road,20
1769,Brunswick Place,44
1770,Ellersly Road,9
1798,Chambers Street,13
1799,Murrayfield,3
1800,Joppa,24
1807,Gamekeeper's Road,7
1808,Gorgie Road,39
1809,Royal Edinburgh Hospital,3
1813,Milton Road - Edinburgh College,14
1814,Abbeyhill,53
1815,Sighthill - Edinburgh College,7
1818,Dynamic Earth,40
1819,Heriot Watt - Edinburgh Business School,13
1820,Heriot Watt - Student Accommodation,14
1821,Drumsheugh Place,28
1822,Edinburgh Park Station,9
1823,Boroughmuir,35
1824,Duke Street,78
1859,Edinburgh Park Central,5
1860,Ingliston Park & Ride,2
1864,Borrowman Square,5
1866,The Loan,5
1868,Forth Bridge Visitors Centre,3
1869,Hopetoun Road,1
1870,Hawes Pier,2
1874,Tesco Ferrymuir,1
1877,Port Edgar Marina,1
2259,Leith Walk North,36
2263,Musselburgh Lidl,15
2265,Musselburgh Brunton Hall,2
2268,Picardy Place,47
